SEX,EDUCATION,MARRIAGE,AGE_RANGES,STATUS_DEFAULT_PAYMENT
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Solteiro,Meia-idade,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Mulher,Graduação,Casado,Jovem Adulto,Inadimplente
Mulher,Graduação,Casado,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Inadimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Ensino Médio,Solteiro,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Inadimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Inadimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Mulher,Ensino Médio,Casado,Adulto,Inadimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Inadimplente
Homem,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Mulher,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Inadimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Homem,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Adulto,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Graduação,Casado,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Ensino Médio,Solteiro,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Inadimplente
Mulher,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Inadimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Graduação,Casado,Meia-idade,Inadimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Ensino Médio,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Jovem Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Ensino Médio,Solteiro,Adulto,Inadimplente
Homem,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Inadimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Ensino Médio,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Inadimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Graduação,Casado,Adulto,Inadimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Inadimplente
Homem,Pós-graduação,Casado,Meia-idade,Inadimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Adulto,Inadimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Solteiro,Meia-idade,Inadimplente
Homem,Ensino Médio,Casado,Meia-idade,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Adulto,Inadimplente
Mulher,Ensino Médio,Casado,Adulto,Inadimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Meia-idade,Inadimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Inadimplente
Mulher,Pós-graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Inadimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Jovem Adulto,Inadimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Inadimplente
Mulher,Graduação,Casado,Jovem Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Jovem Adulto,Inadimplente
Homem,Graduação,Casado,Meia-idade,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Meia-idade,Inadimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Inadimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Meia-idade,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Meia-idade,Adimplente
Mulher,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Inadimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Meia-idade,Inadimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Inadimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Solteiro,Meia-idade,Inadimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Inadimplente
Homem,Graduação,Casado,Adulto,Inadimplente
Homem,Graduação,Casado,Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Casado,Meia-idade,Inadimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Ensino Médio,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Inadimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Homem,Pós-graduação,Casado,Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Inadimplente
Mulher,Graduação,Casado,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Homem,Ensino Médio,Solteiro,Meia-idade,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Mulher,Ensino Médio,Casado,Jovem Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Inadimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Inadimplente
Mulher,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Inadimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Inadimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Solteiro,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Inadimplente
Mulher,Graduação,Solteiro,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Inadimplente
Homem,Graduação,Casado,Terceira idade,Inadimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Solteiro,Meia-idade,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Inadimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Homem,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Homem,Ensino Médio,Solteiro,Meia-idade,Inadimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Pós-graduação,Casado,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Inadimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Inadimplente
Homem,Pós-graduação,Solteiro,Adulto,Inadimplente
Homem,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Inadimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Homem,Ensino Médio,Casado,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Homem,Graduação,Solteiro,Adulto,Inadimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Homem,Graduação,Solteiro,Jovem Adulto,Inadimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Solteiro,Adulto,Inadimplente
Homem,Ensino Médio,Solteiro,Adulto,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
Mulher,Graduação,Solteiro,Adulto,Adimplente
Mulher,Graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Casado,Adulto,Adimplente
Homem,Pós-graduação,Solteiro,Adulto,Adimplente
Homem,Graduação,Casado,Meia-idade,Adimplente
Homem,Graduação,Casado,Adulto,Inadimplente
Mulher,Pós-graduação,Casado,Meia-idade,Adimplente
Mulher,Graduação,Casado,Meia-idade,Adimplente
Mulher,Pós-graduação,Solteiro,Jovem Adulto,Adimplente
Mulher,Ensino Médio,Casado,Meia-idade,Adimplente
Homem,Graduação,Solteiro,Adulto,Adimplente
Mulher,Pós-graduação,Solteiro,Adulto,Inadimplente
Mulher,Graduação,Solteiro,Meia-idade,Adimplente
Mulher,Graduação,Casado,Adulto,Adimplente
